service_id,date
UAGf5,20130329
UAGf6,20130329
UAGGG,20130329
UAGn6,20130329
UAGsV,20130329
UAGs5,20130329
UAGs6,20130329
URvac,20130329
URvds,20130329
URvfV,20130329
URvf5,20130329
URvf6,20130329
URvGG,20130329
URvnV,20130329
URvn5,20130329
URvn6,20130329
UTnac,20130329
UTna5,20130329
UTnds,20130329
UTnfV,20130329
UTnf5,20130329
UTnf6,20130329
UTnGG,20130329
UTnnV,20130329
UTnn5,20130329
UTnn6,20130329
UTnR,20130329
UTnTR,20130329
UTnZ,20130329
3CC,20130329
3CF,20130329
3CL,20130329
3C8,20130329
3EA,20130329
3EC,20130329
3EF,20130329
3EI,20130329
3EP,20130329
3EPP,20130329
3EQ,20130329
3ET,20130329
3EV,20130329
3EX,20130329
3EY,20130329
3E125,20130329
3E145,20130329
3E15,20130329
3E28,20130329
3E345,20130329
3E45,20130329
3E5,20130329
3E8,20130329
3E88,20130329
3FC,20130329
3FER,20130329
3FERV,20130329
3FER5,20130329
3FER9,20130329
3F5,20130329
3F8,20130329
3IA,20130329
3I8,20130329
3LA,20130329
3LF,20130329
3L8,20130329
3M8,20130329
3PA,20130329
3P8,20130329
3QA,20130329
3T8,20130329
3V8,20130329
30A,20130329
30AA,20130329
30AAA,20130329
30A6,20130329
30C,20130329
30CC,20130329
30E,20130329
30E2,20130329
30F,20130329
30FF,20130329
30F2,20130329
30F6,20130329
30I,20130329
30I6,20130329
30L,20130329
30LL,20130329
30MGV,20130329
30P,20130329
30P6,20130329
30Q,20130329
30QQ,20130329
30T,20130329
30V,20130329
30W,20130329
30X,20130329
30Y,20130329
30045,20130329
30125,20130329
30145,20130329
3015,20130329
30156,20130329
30245,20130329
3025,20130329
30256,20130329
30345,20130329
3035,20130329
3045,20130329
30456,20130329
305,20130329
3055,20130329
3056,20130329
308,20130329
308BB,20130329
3081,20130329
3082,20130329
3083,20130329
3088,20130329
3088B,20130329
30888,20130329
309,20130329
309MD,20130329
309ML,20130329
309TN,20130329
3091,20130329
3092,20130329
30923,20130329
30924,20130329
3093,20130329
3094,20130329
3099,20130329
30999,20130329
31235,20130329
33456,20130329
36A,20130329
36C,20130329
36F,20130329
36I,20130329
368,20130329
3924,20130329
UAGf6,20130330
UAGGG,20130330
UAGn6,20130330
UAGSD,20130330
UAGs6,20130330
URvac,20130330
URvds,20130330
URvfS,20130330
URvf6,20130330
URvGG,20130330
URvnS,20130330
URvn6,20130330
URvSa,20130330
UTnac,20130330
UTna5,20130330
UTnds,20130330
UTnfS,20130330
UTnf6,20130330
UTnGG,20130330
UTnnS,20130330
UTnn6,20130330
UTnSA,20130330
UTnTR,20130330
UTnZ,20130330
3A6,20130330
3CL,20130330
3C6,20130330
3EY,20130330
3E6,20130330
3E66,20130330
3FER,20130330
3FER6,20130330
