ID;NOME_AZIONISTA;N_AZIONI;VALORE_EURO;PERC
1;PROVINCIA AUTONOMA DI TRENTO;3.063.374;3.063.374,00;87,53%
2;REGIONE AUTONOMA TRENTINO ALTO ADIGE;60.197;60.197,00;1,72%
3;COMUNE DI TRENTO;43.514;43.514,00;1,24%
4;C.C.I.A.A.;43.514;43.514,00;1,24%
5;COMUNE DI ROVERETO;24.721;24.721,00;0,71%
6;COMUNITA'  TERRIT. DELLA VAL DI FIEMME;13.759;13.759,00;0,39%
7;COMUNITA' DI PRIMIERO;13.759;13.759,00;0,39%
8;COMUNITA' VALSUGANA E TESINO;13.759;13.759,00;0,39%
9;COMUNITA' ALTA VALSUG. E BERSNTOL;13.759;13.759,00;0,39%
10;COMIUNITA' VAL DI NON;25.498;25.498,00;0,73%
11;COMUNITA' DELLA VALLE DI SOLE;13.759;13.759,00;0,39%
12;COMUNITA' DELLE GIUDICARIE;24.949;24.949,00;0,71%
13;COMUNITA' ALTO GARDA E LEDRO;13.759;13.759,00;0,39%
14;COMUNITA' DELLA VALLAGARINA ;13.759;13.759,00;0,39%
15;COMUN GENERAL DE FASCIA;13.759;13.759,00;0,39%
16;COMUNITA' DELLA VALLE DI CEMBRA;3.422;3.422,00;0,10%
17;MAGNIFICA COMUNITA' DEGLI ALT.CIMBRI;1.397;1.397,00;0,04%
18;COMUNITA' DELLA VALLE DEI LAGHI;3.007;3.007,00;0,09%
19;COMUNITA' DELLA PAGANELLA;1.471;1.471,00;0,04%
20;COMUNITA' ROTALIANA - KONIGSBERG;5346;5.346,00;0,15%
21;COMUNE DI ALA;2577;2.577,00;0,07%
22;COMUNE DI ALBIANO;450;450;0,01%
23;COMUNE DI ALDENO;922;922;0,03%
24;COMUNE DI AMBLAR;65;65;0,00%
25;COMUNE DI ANDALO;309;309;0,01%
26;COMUNE DI ARCO;4.898;4.898,00;0,14%
27;COMUNE DI AVIO;1245;1.245,00;0,04%
28;COMUNE DI BEDOLLO;437;437;0,01%
29;COMUNE DI BERSONE;88;88;0,00%
30;COMUNE DI BESENELLO;659;659;0,02%
31;COMUNE DI BIENO;139;139;0,00%
32;COMUNE DI BLEGGIO SUPERIORE;465;465;0,01%
33;COMUNE DI BOCENAGO;123;123;0,00%
34;COMUNE DI BOLBENO;107;107;0,00%
35;COMUNE DI BONDO;205;205;0,01%
36;COMUNE DI BONDONE;202;202;0,01%
37;COMUNE DI BORGO VALSUGANA;2.031;2.031,00;0,06%
38;COMUNE DI BOSENTINO;241;241;0,01%
39;COMUNE DI BREGUZZO;180;180;0,01%
40;COMUNE DI BRENTONICO;1161;1.161,00;0,03%
41;COMUNE DI BRESIMO;81;81;0,00%
42;COMUNE DI BREZ;225;225;0,01%
43;COMUNE DI BRIONE;46;46;0,00%
44;COMUNE DI CADERZONE;192;192;0,01%
45;COMUNE DI CAGNO';112;112;0,00%
46;COMUNE DI CALAVINO;420;420;0,01%
47;COMUNE DI CALDES;326;326;0,01%
48;COMUNE DI CALDONAZZO;923;923;0,03%
49;COMUNE DI CALLIANO;407;407;0,01%
50;COMUNE DI CAMPITELLO DI FASSA;224;224;0,01%
51;COMUNE DI CAMPODENNO;448;448;0,01%
52;COMUNE DI CANAL SAN BOVO;503;503;0,01%
53;COMUNE DI CANAZEI;562;562;0,02%
54;COMUNE DI CAPRIANA;183;183;0,01%
55;COMUNE DI CARANO;303;303;0,01%
56;COMUNE DI CARISOLO ;285;285;0,01%
57;COMUNE DI CARZANO;155;155;0,00%
58;COMUNE DI CASTEL CONDINO;74;74;0,00%
59;COMUNE DI CASTELFONDO;193;193;0,01%
60;COMUNE DI CASTELLO TESINO;422;422;0,01%
61;COMUNE DI CASTELNUOVO;298;298;0,01%
62;COMUNE DI CAVALESE;1.182;1.182,00;0,03%
63;COMUNE DI CAVARENO;305;305;0,01%
64;COMUNE DI CAVEDAGO;164;164;0,00%
65;COMUNE DI CAVEDINE;864;864;0,02%
66;COMUNE DI CAVIZZANA;74;74;0,00%
67;COMUNE DI CEMBRA;557;557;0,02%
68;COMUNE DI CENTA SAN NICOLO';186;186;0,01%
69;COMUNE DI CIMEGO;129;129;0,00%
70;COMUNE DI CINTE TESINO;115;115;0,00%
71;COMUNE DI CIS;94;94;0,00%
72;COMUNE DI CIVEZZANO;1.125;1.125,00;0,03%
73;COMUNE DI CLOZ;220;220;0,01%
74;COMUNE DI COMMEZZADURA;297;297;0,01%
75;COMUNE DI CONDINO;461;461;0,01%
76;COMUNE DI COREDO;490;490;0,01%
77;COMUNE DI CROVIANA;196;196;0,01%
78;COMUNE DI CUNEVO;171;171;0,00%
79;COMUNE DI DAMBEL;131;131;0,00%
80;COMUNE DI DAONE;179;179;0,01%
81;COMUNE DI DARÔ;69;69;0,00%
82;COMUNE DI DENNO;364;364;0,01%
83;COMUNE DI DIMARO;374;374;0,01%
84;COMUNE DI DON;76;76;0,00%
85;COMUNE DI DORSINO;133;133;0,00%
86;COMUNE DI DRENA;157;157;0,00%
87;COMUNE DI DRO;1.178;1.178,00;0,03%
88;COMUNE DI FAEDO;179;179;0,01%
89;COMUNE DI FAI DELLA PAGANELLA;279;279;0,01%
90;COMUNE DI FAVER;253;253;0,01%
91;COMUNE DI FIAVE' ;325;325;0,01%
92;COMUNE DI FIERA DI PRIMIERO;168;168;0,00%
93;COMUNE DI FIEROZZO;141;141;0,00%
94;COMUNE DI FLAVON;161;161;0,00%
95;COMUNE DI FOLGARIA;961;961;0,03%
96;COMUNE DI FONDO;447;447;0,01%
97;COMUNE DI FORNACE;393;393;0,01%
98;COMUNE DI FRASSILONGO;104;104;0,00%
99;COMUNE DI GIOVO;757;757;0,02%
100;COMUNE DI GIUSTINO;227;227;0,01%
101;COMUNE DI GRAUNO;46;46;0,00%
102;COMUNE DI GRUMES;144;144;0,00%
103;COMUNE DI IMER;366;366;0,01%
104;COMUNE DI ISERA;768;768;0,02%
105;COMUNE DI LARDARO;60;60;0,00%
106;COMUNE DI LASINO;393;393;0,01%
107;COMUNE DI LAVARONE;343;343;0,01%
108;COMUNE DI LAVIS;2.539;2.539,00;0,07%
109;COMUNE DI LEDRO *;1.631;1.631,00;0,05%
110;COMUNE DI LEVICO TERME;2.132;2.132,00;0,06%
111;COMUNE DI LISIGNAGO;153;153;0,00%
112;COMUNE DI LIVO;275;275;0,01%
113;COMUNE DI LUSERNA;92;92;0,00%
114;COMUNE DI MALE';659;659;0,02%
115;COMUNE DI MALOSCO;122;122;0,00%
116;COMUNE DI MASSIMENO;35;35;0,00%
117;COMUNE DI MAZZIN DI FASSA;146;146;0,00%
118;COMUNE DI MEZZANA;266;266;0,01%
119;COMUNE DI MEZZANO;505;505;0,01%
120;COMUNE DI MEZZOCORONA;1.500;1.500,00;0,04%
121;COMUNE DI MEZZOLOMBARDO;1.986;1.986,00;0,06%
122;COMUNE DI MOENA;798;798;0,02%
123;COMUNE DI MOLVENO;343;343;0,01%
124;COMUNE DI MONCLASSICO;251;251;0,01%
125;COMUNE DI MONTAGNE;80;80;0,00%
126;COMUNE DI NAGO- TORBOLE;785;785;0,02%
127;COMUNE DI NANNO;191;191;0,01%
