route_id,agency_id,route_short_name,route_long_name,route_type
13,1,514,S.Martino Di Castrozza-Fiera Di P.-Borgo,3
14,1,508,Calaita-Gobbera-Totoga-Imer-Fiera Di Primiero,3
15,1,543,Agordo-Mis-Fiera Di Primiero-Siror,3
16,1,752,Servizi Trenitalia - Andata,3
61,1,014,Direttrice Andata Corse Operai Cavalese,3
62,1,116,Bosco - S.Agnese - Civezzano,3
63,1,203,Vezzano-Ranzo-Margone,3
64,1,205,Trento-Vezzano-Sarche-Dro-Arco-Riva,3
65,1,206,M. Terlago-Terlago-Sopramonte-Cadine-Trento,3
66,1,230,Trento-Monte Terlago-Ranzo-Margone,3
67,1,302,Trento -Ravina -Mattarello -Aldeno -Garniga Terme,3
68,1,303,Luserna-Lavarone-Carbonare-V.Vattaro-Trento,3
69,1,311,Rovereto-Villa-Nomi-Aldeno,3
70,1,861,Linea 1: Riva -Varone -Arco -S.Giorgio-Brione-Riva,3
71,1,862,Linea 2: Riva-Brione-S.Giorgio-Arco-Varone-Riva,3
73,1,864,Linea 4: Riva-Grez-Viale Martiri-Riva,3
143,1,106,Mezzocorona Ferrovia - S.Michele - Faedo Pineta,3
144,1,107,Roverè Della Luna - Mezzolombardo,3
145,1,221,Riva Del Garda-Campi,3
146,1,615,Toss - Vigo Di Ton - Mezzolombardo,3
147,1,616,Cles - Tuenno - Lago Di Tovel,3
148,1,618,Cles-Denno-Moncovo-Ceramica-Mezzolombardo-Trento,3
150,1,621,Trento-Nave S.F.-Nav,3
151,1,623,Portolo - Nanno - Tuenno - Pavillo - Cles,3
152,1,624,Mechel - Cles,3
154,1,626,Vervò - Tres - Taio - Cles,3
156,1,629,Cles -Dermulo -Dambel -Seio- Fondo -Passo Mendola,3
157,1,630,P.Mendola -Fondo -Don -Dambel -Dermulo -Cles,3
161,1,634,Cles - Livo - Lanza Di Rumo,3
17,1,051,Operai Luxottica,3
18,1,101,Penia-Canazei-Moena-Predazzo-Cavalese,3
19,1,102,Cavalese - Capriana - Cembra - Trento,3
20,1,103,Trento - Civezzano - Sover - Cavalese,3
21,1,105,Palu  Di Giovo-Ville- Valternigo-Verla,3
22,1,108,P.So Oclini-P.So Lavazè-Varena-Daiano-Cavalese,3
23,1,110,Alpe Pampeago-Cavalese,3
24,1,111,Cavalese - Carano - Villaggio Veronza,3
25,1,112,Varena - Daiano - Cavalese,3
26,1,113,Cavalese - Daiano - Carano - Tesero - Cavalese,3
27,1,114,Sicina-Palu -Casatta Di Valfloriana,3
28,1,115,Civezzano - Pergine,3
29,1,119,Molina-Masi-Cavalese,3
30,1,121,Sover-Montesover,3
33,1,133,Valcava-Piazzo-Cembr,3
34,1,202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3
35,1,402,Montesover - Baselga Di Pinè -Nogarè -Trento,3
36,1,403,Trento - Pergine - Baselga Di Pinè - Montesover,3
37,1,405,Borgo V.- Strigno - Castello Tesino,3
39,1,407,Borgo Valsugana - Telve - Torcegno,3
40,1,408,Borgo Valsugana - Olle,3
42,1,413,Valcava-Brusago,3
43,1,415,Lochere - S.Giuliana - Barco -Levico Terme,3
44,1,416,Levico Terme - Compet - Vetriolo Terme,3
45,1,417,Palù -S.Orsola -Viarago -Canezza -Pergine,3
46,1,418,Hacleri-S.Felice F.-Frassilongo-Kamauz-Pergine,3
47,1,422,Roncogno-Costasavina-Pergine,3
106,2,751,Ferrovia Fs Verona - Brennero,2
119,1,312,Rovereto-Parrocchia Di V.-Pian Delle Fugazze,3
120,1,314,Rovereto-Riva-Obra Di Vallarsa-Ometto,3
121,1,315,Folgaria-Serrada-Terragnolo-Rovereto,3
122,1,316,Rovereto-Trambileno-Vanza-Pozzacchio,3
123,1,318,Nomesino-Manzano-Valle S.Felice,3
124,1,319,Cornè-Crosano Bivio-Besagno,3
125,1,334,Rovereto-Ala-Sabbionara-Avio-Masi-Rovereto,3
126,1,335,Rovereto-Ala-Masi D Avio-Avio-Rovereto,3
127,1,337,Avio-Ala-Cornè -Chizzola-Mori-Rovereto,3
74,1,041,Operai Rit. Valsugana,3
75,1,042,Operai Rit. Pinè (Via Nogarè),3
76,1,043,Operai And. Pinè (Via Pergine),3
38,1,406,Samone -Strigno -Carzano -Borgo Valsugana,3
91,1,216,Tione-Bolbeno-Ragoli-Montagne,3
107,1,AG 861,Linea 1: Riva -Varone -Arco -S.Tomaso -Riva,3
108,1,AG 862,Linea 2: Riva -S.Tomaso -Arco-Varone -Riva,3
109,1,AG 863,Linea 3: Riva -S.Tomaso -Arco -S.Giorgio -Riva,3
110,1,AG 864,Linea 4: Riva-S.Giorgio-Arco-S.Tomaso-Riva,3
111,1,AG 865,Linea 5: Circolare Di Arco,3
112,1,AG 866,Linea 6 : Circolare Di Riva Del Garda,3
128,1,308,Rovereto-Mori-Chizzo,3
129,1,321,Trento-Calliano-Folgaria-Lavarone,3
130,1,328,Luserna-Monterovere-Caldonazzo-Pergine-Trento,3
131,1,329,Pergine-Calceranica-Bosentino-V.Vattaro,3
139,1,304,Avio - Masi D Avio - Sabbionara - Ala - Rovereto,3
140,1,061,Operai Rit. Molveno,3
239,1,Rv B,B   Baldresca - Rosmini - S.Giovanni Bosco,3
141,1,510,Milano - S.Martino Di Castrozza,3
142,1,AG 867,Linea 7 : Nago - Torbole - Riva Del Garda,3
58,1,442,Trento-Masetti-Borgo V.-Castello T.,3
77,1,201,Tione-Sarche-Vezzano-Trento,3
78,1,204,Trento-Vigo Cavedine-Riva Del Garda,3
79,1,301,Rovereto-Calliano-Besenello-Trento,3
80,1,207,Ponte Arche-Campo Lomaso-Fiavè-Cavrasto-Bivedo,3
81,1,208,Molveno-S.Lorenzo In B.-Ponte Arche,3
82,1,209,Ponte Arche-Lundo,3
83,1,211,Riva Del G.-Tenno-Fiave -Ponte Arche,3
84,1,212,Pieve Di Bono-Praso-Daone,3
85,1,213,Por-Castel Condino-Pieve Di Bono,3
86,1,214,Pieve Di Bono-Storo-Bezzecca-Pregasina-Riva,3
87,1,215,Tione-Pieve Di Bono-Storo-Baitoni-Vestone,3
88,1,218,Vigo Cavedine-Masi,3
89,1,225,Condino - Brione,3
90,1,331,Trento-Rovereto-Mori-Bolognano-Arco-Riva,3
57,1,441,Castello T.-Borgo Diretta:Via Gallerie-Trento,3
102,1,850,Piano Area Rovereto (Ritorno),3
103,1,867,Linea 7: Nago-Torbole-Riva,3
104,1,868,Direttrice Andata Per Corse Scolastiche Alto Garda,3
