stop_id,stop_name,stop_lat,stop_lon
1,Trento, 46.070770, 11.118450
2,Trento (Via Arten), 46.070770, 11.118450
935,Gardolo, 46.108550, 11.108740
937,Zona Ind. Spini/Lamar, 46.121620, 11.090060
938,Lamar Di Gardolo (Ss.12-Ftm), 46.125840, 11.107850
940,Zambana, 46.151180, 11.096580
942,Zambana - Statale 12, 46.150320, 11.100130
945,Maso San Valentino, 46.159250, 11.098100
947,Nave S.Rocco, 46.166340, 11.109780
948,Masetto, 46.171220, 11.105340
949,Maso Inon, 46.177710, 11.105550
950,Maso Tabarelli, 46.182680, 11.105630
951,Ponte Rupe, 46.195440, 11.101780
954,S.Michele A/Adige, 46.193670, 11.132510
956,Molveno, 46.142410, 10.963750
957,Madonna Di Campiglio, 46.231930, 10.826130
958,Campo Carlomagno, 46.242960, 10.840010
960,Riva Del Garda, 45.892270, 10.844880
961,S.Martino Di Castrozza, 46.262140, 11.804270
1001,Torchio/Seregnano, 46.091390, 11.198330
1010,Lavis, 46.138350, 11.109130
1020,Cadino, 46.217390, 11.153400
1030,Salorno - Salurn, 46.240590, 11.208100
1040,Laghetti - Laag, 46.271940, 11.238960
1050,Egna/Termeno, 46.315960, 11.272440
1057,Fontanefredde, 46.330350, 11.374260
1058,Passo S.Lugano/Fontanefredde, 46.311550, 11.394000
1059,Cela-Aguai Bivio, 46.291350, 11.418700
1060,Castello Di Fiemme/Aguai, 46.281190, 11.434720
1070,Cavalese, 46.287900, 11.463220
1071,Mosana, 46.154390, 11.137220
1072,Verla, 46.157040, 11.152520
1073,Valternigo, 46.160780, 11.158780
1074,Ville Di Giovo, 46.165770, 11.157330
1075,Palu' Di Giovo, 46.158200, 11.140390
1076,Ceola Di Giovo, 46.159520, 11.170880
1077,Lisignago, 46.160440, 11.187620
1078,Cembra, 46.174940, 11.221700
1079,Faver, 46.181700, 11.237780
1080,Valda, 46.206770, 11.266450
1081,Grumes, 46.221520, 11.294040
1082,Grauno, 46.229400, 11.298230
1083,Capriana (Albergo Miravalle), 46.262040, 11.343980
1084,Capriana, 46.262780, 11.339440
1085,Carbonare - Rover, 46.266740, 11.351730
1088,Molina/Stram. Bv, 46.272340, 11.417210
1091,Passo Croce, 46.161470, 11.134610
1098,Barbaniga, 46.101720, 11.186330
1100,Civezzano, 46.091860, 11.183160
1102,Seregnano, 46.094460, 11.200430
1103,Rovere' /Bampi Bv, 46.090640, 11.192960
1105,S.Agnese/Penedallo, 46.106330, 11.183830
1106,Bosco Di Civezzano, 46.111050, 11.170980
1107,Mazzanigo, 46.103620, 11.189170
1108,Penedallo, 46.101000, 11.192540
1110,Valle Fornace, 46.111850, 11.210350
1111,Fornace, 46.118050, 11.208100
1112,Albiano/Lases, 46.144600, 11.219160
1113,Albiano, 46.143920, 11.194850
