route_id,service_id,trip_id,trip_short_name,direction_id,departure_time,variante_id,variante_name,variante_short_name
79,305,15514_20130329_305_750,B301750003,1,07.20.00,1805,Rovereto F.S. - Trento,30118
14,305,57597_20130329_305_611,B503700304,0,13.25.00,188,Fiera - Lausen - Prade,5061404
229,305,15635_20130329_305_2225,B205930004,0,20.20.00,18467,Vestone-M.Campiglio,2153307
151,305,34106_20130329_305_314,B602590002,1,13.43.00,4381,Portolo - Tuenno - Cles,62302
220,305,27817_20130329_305_474,B400980002,0,17.05.00,10880,Pergine - Madrano,46103
100,305,30269_20130329_305_274,B607610002,1,08.00.00,14736,M.Corona S.Med - S.Michel,6115012
146,305,42865_20130329_305_274,B6051001,0,06.50.00,9166,Mezzolombardo -Toss,6150302
83,308,14753_20130329_308_870,B200190103,1,13.50.00,1505,Ponte Arche - Riva,21104
100,308,30277_20130329_308_332,B603990105,1,06.48.00,8808,Mezzolombardo - Trento,6114203
101,308,30163_20130329_308_332,B603990010,1,06.05.00,15274,Cles - Denno - Trento,6204604
100,308,30283_20130329_308_319,B602290111,1,07.13.00,18326,Cles - Denno - Trento,6113304
101,308,30186_20130329_308_319,B602290011,1,06.30.00,18329,Cles - Denno - Trento,6202604
149,308,2496_20130329_308_288,B602230004,1,10.43.00,4110,Campodenno-M.lombardo,6203601
144,308,52238_20130329_308_288,B105630002,1,07.01.00,9157,Roverè d.L.-M.corona fs,1070802
100,308,30434_20130329_308_276,B600770107,1,07.05.00,22608,Santel - Fai - Trento,6112208
79,308,15515_20130329_308_776,B301730003,1,07.05.00,1805,Rovereto F.S. - Trento,30118
125,308,10919_20130329_308_776,B3021502,1,05.59.00,2526,Masi d’Avio - Rovereto,3350211
118,308,5708_20130329_308_770,B300760007,0,10.30.00,8995,Rovereto - Ronzo Chienis,3102203
221,308,42592_20130329_308_465,B4062601,1,15.05.00,11798,Canezza-Serso-Pergine,4620812
20,308,44707_20130329_308_461,B101530002,1,07.05.00,3404,Civezzano - Trento,1032201
3,308,30722_20130329_308_568,B401240007,0,07.00.00,22602,Trento - Caldonazzo - Bor,4010710
78,308,15912_20130329_308_2261,B201680106,0,19.30.00,6470,Trento - Vigo Cavedine,2040309
3,308,9674_20130329_308_401,B401550006,1,13.50.00,5248,Levico - Trento,4012905
207,308,5442_20130329_308_401,B801140001,0,11.09.00,22277,Spini - Roncafort,8111101
207,308,56791_20130329_308_401,B801120002,0,06.46.00,22346,Gardolo Neufharm-G. di Me,8110701
6,308,57958_20130329_308_603,B503270004,1,17.52.00,56,Sagron -Mis -Fiera di P.,5032601
